Code,Finnish,English
DIF,Diffuusiohakemus,DemergerApplication
FUU,Fuusiohakemus,Application
H,Hakemus,Public summons to creditors
JH,Julkinen haaste velkojille,Public summons to creditors
KM,Kuntamuutosilmoitus,Municipal change notification
M,Muutosilmoitus,Amendment notification
OI,Oikaisu,Rectification
T,Tiedonanto,Notice
TA,Tilinpäätös,Financial statements
U,Perusilmoitus,Start-up notification
VA,Valvonta-asia,Start-up notification
MH,Muutoshakemus,Change application
UH,Perustamishakemus,Establishment application
