metric,OYJ,OY,OSK
total_firms_in_trade_register,429,169301,6708
active_firms_status_REK,294,N/A,N/A
firms_with_notices_in_event_window,304,165192,3495
total_notices_in_event_window,6497,1179346,18475
pre_treatment_notices,3545,567165,10325
post_treatment_notices,2952,612181,8150
pre_post_change_pct,-16.7%,+7.9%,-21.1%
mean_monthly_ta_dummy_pre,0.133,0.075,N/A
mean_monthly_ta_count_pre,0.194,0.077,N/A
ta_filings_pre,1987,N/A,N/A
ta_filings_post,1021,N/A,N/A
ta_pre_post_change_pct,-48.6%,N/A,N/A
jh_filings_pre,24,277,N/A
jh_filings_post,31,1252,N/A
jh_pre_post_change_pct,+29.2%,+351.6%,N/A
vero_match_rate_5yr_balanced,93.9%,61.2%,N/A
did_treat_post_ta_count,-0.086,baseline,N/A
did_treat_post_t_stat,-13.84,baseline,N/A
did_treat_post_p_value,0.000,baseline,N/A
